관리번호,설치목적구분,카메라대수,도로명주소,위도,경도,행정동코드,행정동,자치구,보정구분,보정거리_m
202630100000800858,생활방범,2,서울특별시 중구 다산로33길74-14,37.56398,127.01173,11020690.0,신당동,중구,원본정상,
202630100000800859,생활방범,4,서울특별시 중구 다산로33라길 32,37.56392,127.0121,11020690.0,신당동,중구,원본정상,
202630100000800860,생활방범,3,서울특별시 중구 다산로33라길32-6,37.4652,127.012,11220660.0,양재1동,서초구,원본정상,
202630100000800861,생활방범,3,서울특별시 중구 다산로33다길 38,37.56459,127.0136,11020690.0,신당동,중구,원본정상,
202630100000800862,생활방범,3,서울특별시 중구 장충단로8길59-10,37.56252,127.0099,11020690.0,신당동,중구,원본정상,
202630100000800863,생활방범,2,서울특별시 중구 청구로21길22,37.56068,127.0103,11020700.0,다산동,중구,원본정상,
202630100000800864,생활방범,2,서울특별시 중구 장충단로8길59,37.56201,127.0098,11020700.0,다산동,중구,원본정상,
202630100000800865,생활방범,3,서울특별시 중구 퇴계로411-6,37.56593,127.0174,11020690.0,신당동,중구,원본정상,
202630100000800866,생활방범,4,서울특별시 중구 청구로 16길 7,37.56131,127.01148,11020690.0,신당동,중구,원본정상,
202630100000800867,생활방범,4,서울특별시 중구 다산로47길 28,37.5666,127.0144,11020690.0,신당동,중구,원본정상,
202630100000800868,생활방범,5,서울특별시 중구 다산로29길 10,37.5616,127.0138,11020690.0,신당동,중구,원본정상,
202630100000800869,생활방범,5,서울특별시 중구 퇴계로 397,37.5654,127.0158,11020690.0,신당동,중구,원본정상,
202630100000800870,생활방범,4,서울특별시 중구 퇴계로366-1,37.5647,127.0123,11020690.0,신당동,중구,원본정상,
202630100000800871,생활방범,3,서울특별시 중구 청구로 132-2,37.56365,127.01033,11020690.0,신당동,중구,원본정상,
202630100000800872,생활방범,5,서울특별시 중구 다산로29길 23,37.56134,127.01266,11020690.0,신당동,중구,원본정상,
202630100000800873,생활방범,3,서울특별시 중구 다산로 114-8,37.55395,127.01066,11020710.0,약수동,중구,원본정상,
202630100000800261,어린이보호,3,서울특별시 중구 서소문로 11길 19,37.56381,126.97295,11020520.0,소공동,중구,원본정상,
202630100000800262,생활방범,3,서울특별시 중구 정동길 12-11,37.56712,126.96912,11020520.0,소공동,중구,원본정상,
202630100000800263,생활방범,3,,37.56499,126.97134,11020520.0,소공동,중구,원본정상,
202630100000800264,생활방범,4,서울특별시 중구 남대문로1길 31-5,37.56251,126.977,11020520.0,소공동,중구,원본정상,
202630100000800265,생활방범,1,서울특별시 중구 남대문로4가,37.55953,126.97592,11020540.0,회현동,중구,원본정상,
202630100000800266,생활방범,1,서울특별시 중구 남대문로4가,37.55951,126.97586,11020540.0,회현동,중구,원본정상,
202630100000800267,생활방범,1,서울특별시 중구 남대문로4가,37.5595,126.97594,11020540.0,회현동,중구,원본정상,
202630100000800268,생활방범,1,서울특별시 중구 남대문로4가,37.55947,126.9759,11020540.0,회현동,중구,원본정상,
202630100000800269,생활방범,3,서울특별시 중구 세종대로 40,37.55994,126.97494,11020520.0,소공동,중구,원본정상,
202630100000800270,생활방범,3,서울특별시 중구 세종대로 40,37.56027,126.97545,11020520.0,소공동,중구,원본정상,
202630100000800271,생활방범,5,서울특별시 중구 정동길45-1,37.56526,126.97358,11020520.0,소공동,중구,원본정상,
202630100000800272,생활방범,3,서울특별시 중구 정동23-20,37.56769,126.96958,11020520.0,소공동,중구,원본정상,
202630100000800273,생활방범,4,서울특별시 중구  세종대로 지하101,37.56552,126.97746,11020520.0,소공동,중구,원본정상,
202630100000800274,생활방범,4,서울특별시 중구 통일로2길 16,37.5612,126.9717,11020520.0,소공동,중구,원본정상,
202630100000800275,생활방범,3,서울특별시 중구 세종대로14길26,37.5628,126.9781,11020520.0,소공동,중구,원본정상,
202630100000800276,생활방범,3,서울특별시 중구 남대문로1길 26,37.5622,126.9774,11020520.0,소공동,중구,원본정상,
202630100000800277,생활방범,3,서울특별시 중구 태평로2가 68-10,37.5631,126.9769,11020520.0,소공동,중구,원본정상,
202630100000800278,생활방범,1,서울특별시 중구 세종대로 50,37.56058,126.976,11020520.0,소공동,중구,원본정상,
202630100000800279,생활방범,1,서울특별시 중구 세종대로 50,37.56058,126.976,11020520.0,소공동,중구,원본정상,
202630100000800006,생활방범,2,서울특별시 중구 매봉18길 11 (금호동3가),37.545,127.00817,11020710.0,약수동,중구,원본정상,
202630100000800007,생활방범,3,서울특별시 중구 정동길 21-8,37.56838,126.97134,11020520.0,소공동,중구,원본정상,
202630100000800008,생활방범,2,서울특별시 중구 정동길 21-8,37.56792,126.97164,11020520.0,소공동,중구,원본정상,
202630100000800041,생활방범,3,서울특별시 중구 다산로48길33,37.56744,127.01797,11020670.0,황학동,중구,원본정상,
202630100000800042,생활방범,3,서울특별시 중구 신당동294-40,37.55991,127.01396,11020720.0,청구동,중구,원본정상,
